id,name,section,group,country,image
0, ENGLISH SETTER, Pointing Dogs, British and Irish Pointers and Setters, GREAT BRITAIN,/002g07.jpg
1, KERRY BLUE TERRIER, Terriers, Large and medium sized Terriers, IRELAND, /kerryblueterrier.jpg
2, CAIRN TERRIER, Terriers, Small sized Terriers, GREAT BRITAIN,/004g03.jpg
3, ENGLISH COCKER SPANIEL, Retrievers, Flushing Dogs, GREAT BRITAIN,/005g08.jpg
4, GORDON SETTER, Pointing Dogs, British and Irish Pointers and Setters, GREAT BRITAIN,/006g07.jpg
5, AIREDALE TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/007g03.jpg
6, AUSTRALIAN TERRIER, Terriers, Small sized Terriers, AUSTRALIA,/008g03.jpg
7, BEDLINGTON TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/009g03.jpg
8, BORDER TERRIER, Terriers, Large and medium sized Terriers, GREAT BRITAIN,/010g03.jpg
9, BULL TERRIER, Terriers, Bull type Terriers, GREAT BRITAIN,/011g03.jpg
10, FOX TERRIER (SMOOTH), Terriers, Large and medium sized Terriers, GREAT BRITAIN,/012g03.jpg
11, ENGLISH TOY TERRIER (BLACK &TAN), Terriers, Toy Terriers, GREAT BRITAIN,/013g03.jpg
12, SWEDISH VALLHUND, Spitz and primitive types, Nordic Watchdogs and Herders, SWEDEN,/014g05.jpg
13, BELGIAN SHEPHERD DOG, Sheepdogs and Cattledogs, Sheepdogs, BELGIUM, /belgianshepherddog.jpg
14, OLD ENGLISH SHEEPDOG, Sheepdogs and Cattledogs, Sheepdogs, GREAT BRITAIN,/016g01.jpg
15, GRIFFON NIVERNAIS, Scent hounds and related breeds, Scent hounds, FRANCE,/017g06.jpg
16, BRIQUET GRIFFON VENDEEN, Scent hounds and related breeds, Scent hounds, FRANCE,/019g06.jpg
17, ARIEGEOIS, Scent hounds and related breeds, Scent hounds, FRANCE,/020g06.jpg
18, GASCON SAINTONGEOIS, Scent hounds and related breeds, Scent hounds, FRANCE, /gasconsaintongeois.jpg
19, GREAT GASCONY BLUE, Scent hounds and related breeds, Scent hounds, FRANCE,/022g06.jpg
